Category;ID;QDanish;QEnglish;QDutch;Points;ADanish;AEnglish;ADutch;Assessment
Klaphatten;11;Den lille merchandisebutik Klaphatten oplever igen og igen, at kunderne ikke vil tale med sælgerne. De vil bare se produkterne på hjemmesiden og bestille online. Tidligere har Klaphatten været gode til relationssalg, men markedet er i bevægelse, og relationer betyder mindre for kunderne. Rie, Klaphattens salgsansvarlige, erkender, at der skal ske noget.   Hvordan udvikler Rie sælgernes rolle? Formuler 2 tiltag, som hjælper sælgerne til at skabe værdi for kunderne.;The small merchandise store Klaphatten experiences again and again that customers do not want to talk to the sellers. They just want to see the products on the website and order online. In the past, Klaphatten has been good at relationship selling, but the market is moving, and relationships mean less to customers. Rie, Klaphatten's sales manager, acknowledges that something needs to be done. How does Rie develop the role of salespeople? Formulate 2 actions that help salespeople create value for customers.;De kleine merchandise winkel Klaphatten ervaart keer op keer dat klanten niet met de verkopers willen praten. Ze willen gewoon de producten op de website zien en online bestellen. In het verleden was Klaphatten goed in relatieverkoop, maar de markt is in beweging en relaties betekenen minder voor klanten. Rie, salesmanager van Klaphatten, erkent dat er iets moet gebeuren. Hoe ontwikkelt Rie de rol van verkopers? Formuleer 2 acties die verkopers helpen waarde te creëren voor klanten.;NVT;10 point, hvis I kan komme på 2 tiltag, som sælgeren kan gøre for at skabe værdi/indsigt i en kundedialog?  ;10 points if you can think of 2 initiatives that the salesperson can do to create value/insight in a customer dialogue?;10 punten als je 2 initiatieven kunt bedenken die de verkoper kan doen om waarde/inzicht te creëren in een klantdialoog?;Moderator
Klaphatten;12;"Klaphattens evne til at udvikle deres kundeorientering kan få stor betydning for butikkens omsætning. Det viser en ny undersøgelse, som ejerlederen har orienteret sig lidt i. 

Ejerlederen er nu optaget af holde fast i de gode kunderelationer. Hans 1. prioritet er at finde ud af, hvordan kundeorienteringen udfoldes bedre i sælgernes dagligdag. Hvad kan begrebet ‘kundeorientering’ dække over for en virksomhed som Klaphatten?";"Klaphatten's ability to develop their customer orientation can have a major impact on the store's turnover. This is shown by a new study, which the owner-manager has oriented himself a little in. 

The owner-manager is now concerned with maintaining the good customer relations. His 1st priority is to find out how customer orientation is better developed in the salespeople's daily lives. What can the term 'customer orientation' cover for a company like Klaphatten?";"Het vermogen van Klaphatten om hun klantgerichtheid te ontwikkelen, kan een grote impact hebben op de omzet van de winkel. Dat blijkt uit een nieuwe studie, waar de eigenaar-manager zich een beetje op heeft georiënteerd. 

De eigenaar-manager houdt zich nu bezig met het onderhouden van de goede klantrelaties. Zijn 1e prioriteit is om erachter te komen hoe klantgerichtheid beter wordt ontwikkeld in het dagelijks leven van de verkopers. Wat kan de term 'klantgerichtheid' inhouden voor een bedrijf als Klaphatten?";NVT;"

5 point for et svar. ";5 points for an answer.;5 punten voor een antwoord.;Moderator
Klaphatten;13;"Connie har arbejdet i Klaphatten i alle de 10 år, den har eksisteret. Hun brænder for virksomhedens overlevelse og vækst. Hun har netop købt et nyt CRM-system, der kan give overblik og struktur på kundedialogerne. Men sælgerne får ikke registreret deres dialoger med kunderne i systemet. Det tager for lang tid og skaber ikke værdi for sælgerne personligt, fornemmer hun.
Hvordan får Connie sælgerne til at tage CRM-systemet i brug? Hvordan viser hun dem værdien ved systemet? ";"Connie has worked at Klaphatten for all the 10 years it has existed. She is passionate about the company's survival and growth. She has just bought a new CRM system that can provide an overview and structure of the customer dialogues. But the salespeople do not register their dialogues with customers in the system. It takes too long and does not create value for the sellers personally, she senses.
Hoe zorgt Connie ervoor dat de verkopers het CRM-systeem gebruiken? Hoe laat ze hen de waarde van het systeem zien?";"Connie werkt al 10 jaar bij Klaphatten. Ze is gepassioneerd over het voortbestaan en de groei van het bedrijf. Ze heeft net een nieuw CRM-systeem aangeschaft dat overzicht en structuur kan bieden in de klantdialogen. Maar de verkopers registreren hun dialogen met klanten niet in het systeem. Het duurt te lang en creëert geen waarde voor de verkopers persoonlijk, vindt ze.
How does Connie get the salespeople to use the CRM system? How does she show them the value of the system?";NVT;10 point for en plan.;"10 points for a plan.
";"10 punten voor een plan.
";Moderator
Klaphatten;14;"Lynlevering af merchandise er noget mange kunder sætter stor pris på. Men Klaphatten tager ikke penge for dette. På et møde taler Klaphattens salgs-ansvarlige med ejerlederen om, at der er et muligt salgspotentiale i deres lyn-levering og måske også i andre services. De er enige om, at de skal blive bedre til at tage sig betalt for den værdi, de skaber.
Hvordan sikrer Klaphatten, at de får betaling for den værdi, de skaber hos kunden? Og hvad skal de være obs på i den forbindelse?";"Fast delivery of merchandise is something many customers greatly appreciate, but Klaphatten does not charge money for this. At a meeting, Klaphatten's sales manager talks to the owner-manager about the possibility of sales potential in their lightning delivery and perhaps also in other services. They agree that they need to get better at charging for the value they create.
How does Klaphatten ensure that they get paid for the value they create with the customer? And what should they be aware of in this connection?";"Snelle levering van koopwaar is iets wat veel klanten zeer op prijs stellen, maar Klaphatten rekent hier geen geld voor. Tijdens een vergadering praat de verkoopmanager van Klaphatten met de eigenaar-manager over de mogelijkheid van verkooppotentieel in hun bliksemlevering en misschien ook in andere diensten. Ze zijn het erover eens dat ze beter moeten worden in het in rekening brengen van de waarde die ze creëren.
Hoe zorgt Klaphatten ervoor dat ze betaald worden voor de waarde die ze creëren bij de klant? En waar moeten ze in dit verband op letten?";NVT;"

15 point for et fyldestgørende svar.";"15 points for a satisfactory answer.
";"15 punten voor een bevredigend antwoord.
";Moderator
Klaphatten;15;"Klaphattens kunder forventer hurtig levering af merchandise. Sælgerne forsøger dog ofte at sælge varer, der er lette at sælge, men som ikke nødvendigvis er på lager. Det fører ofte til ordreannullering, fordi kunden ikke vil vente på varen. Klaphattens ledelse har nu besluttet sig for at lægge en plan for, at sælgerne deler mere viden med lager og indkøb.
Brug ca. 15 min. på at lave en plan, der sikrer, at indkøb/logistik involveres, inden sælgerne lover varer, der ikke er på lager.";"Klaphatten's customers expect fast delivery of merchandise. However, sellers often try to sell items that are easy to sell but aren't necessarily in stock. This often leads to order cancellation because the customer doesn't want to wait for the item. Klaphatten's management has now decided to make a plan for the salespeople to share more knowledge with the warehouse and purchasing.
Take about 15 minutes to make a plan that ensures that purchasing/logistics are involved before the salespeople promise goods that are not in stock.";"De klanten van Klaphatten verwachten een snelle levering van goederen. Verkopers proberen echter vaak artikelen te verkopen die gemakkelijk te verkopen zijn, maar niet noodzakelijkerwijs op voorraad zijn. Dit leidt vaak tot annulering van de bestelling omdat de klant niet op het artikel wil wachten. De directie van Klaphatten heeft nu besloten om een plan te maken voor de verkopers om meer kennis te delen met het magazijn en de inkoop.
Neem ongeveer 15 minuten de tijd om een plan te maken dat ervoor zorgt dat inkoop/logistiek erbij betrokken is voordat de verkopers goederen beloven die niet op voorraad zijn.";NVT;I får 20 point for en god plan.;"""You get 20 points for a good plan.
""";"You get 20 points for a good plan.
";Moderator
Jysk;16;Jysk Telepartners salgschef kommer tit ud for, at de andre chefer i ledergruppen ikke er opdateret på virksomhedens konkurrenter i markedet. Det medfører nogle gange, at Jysk Telepartner bliver fravalgt pga. logistik eller IT-løsninger. Det er salgschefen brandærgerlig over, og han har besluttet sig for at gøre noget ved sagen. Hvordan sikrer salgschefen, at viden om markedet og konkurrenterne bliver vægtet og brugt til justeringer i virksomheden? ;Jysk Telepartner's sales manager often finds that the other managers in the management team are not updated on the company's competitors in the market. This sometimes results in Jysk Telepartner being deselected due to logistics or IT solutions. The sales manager is very annoyed about this, and he has decided to do something about it. How does the sales manager ensure that knowledge about the market and competitors is weighted and used for adjustments in the company?;De salesmanager van Jysk Telepartner merkt vaak dat de andere managers in het managementteam niet op de hoogte zijn van de concurrenten van het bedrijf op de markt. Dit leidt er soms toe dat Jysk Telepartner wordt uitgeschakeld vanwege logistieke of IT-oplossingen. De salesmanager ergert zich hier erg aan, en hij heeft besloten er iets aan te doen. Hoe zorgt de salesmanager ervoor dat kennis over de markt en concurrenten wordt gewogen en gebruikt voor aanpassingen in het bedrijf?;NVT;5 point. Max 6 svar.;5 point. Max 6 answers.;5 punten. Max 6 antwoorden.;Moderator
Jysk;17;"En sælger i Jysk Telepartner fortæller til et teammøde, at hun flere gange er blevet stillet det samme spørgsmål ude hos kunderne: Hvordan skiller I jer egentlig ud fra konkurrenterne? 

Alarmklokkerne ringer hos salgschefen, for hvis ikke kunderne oplever merværdi ved at handle med Jysk Telepartner, er virksomheden for sårbar. Noget må gøres. Hvordan kan sælgerne tydeliggøre den værdi, kunderne opnår ved at handle med Jysk Telepartner frem for med konkurrenterne? ";"A salesperson in Jysk Telepartner tells a team meeting that she has been asked the same question several times with customers: How do you really stand out from the competition? 

The alarm bells are ringing for the sales manager, because if the customers do not experience added value by doing business with Jysk Telepartner, the company is too vulnerable. Something has to be done. How can salespeople clarify the value customers achieve by doing business with Jysk Telepartner rather than with competitors?";"Een verkoper bij Jysk Telepartner vertelt tijdens een teamvergadering dat haar meerdere keren dezelfde vraag is gesteld aan klanten: hoe onderscheid je je echt van de concurrentie? 

De alarmbellen gaan rinkelen bij de salesmanager, want als de klanten geen toegevoegde waarde ervaren door zaken te doen met Jysk Telepartner, is het bedrijf te kwetsbaar. Er moet iets gebeuren.
 Hoe kunnen verkopers duidelijk maken welke waarde klanten bereiken door zaken te doen met Jysk Telepartner in plaats van met concurrenten?";NVT;5 point pr. forslag. Max 3 forslag.;5 points per proposal. Max 3 suggestions.;5 punten per voorstel. Max 3 suggesties.;Moderator
Jysk;18;"Jysk Telepartner har lavet en intern undersøgelse, som salgschefen sidder og grubler over: 7 ud af 10 medarbejdere siger nemlig, at de ikke kan tage beslutninger på egen hånd ved kundemøder. Salgschefen tænker, at de risikerer, at kunderne smutter, fordi de ikke vil vente på lange processer, og at det også kan signalere, at han har sendt et B-hold til kunden.
Hvad skal salgschefen gøre for at bemyndige sælgerne til at træffe flere beslutninger på møderne?  ";"Jysk Telepartner has conducted an internal survey that the sales manager is pondering: 7 out of 10 employees say that they cannot make decisions on their own at customer meetings. The sales manager thinks that they risk customers leaving because they do not want to wait for long processes, and that it can also signal that he has sent a B-team to the customer.
What should the sales manager do to empower the salespeople to make more decisions at the meetings?";"Jysk Telepartner heeft een interne enquête gehouden waar de salesmanager over nadenkt: 7 op de 10 werknemers zeggen dat ze niet zelf beslissingen kunnen nemen tijdens klantvergaderingen. De salesmanager denkt dat hij het risico loopt dat klanten weggaan omdat hij niet wil wachten op lange processen, en dat het ook een signaal kan zijn dat hij een B-team naar de klant heeft gestuurd.
Wat moet de verkoopmanager doen om de verkopers in staat te stellen meer beslissingen te nemen tijdens de vergaderingen?";NVT;10 point for et godt bud.;"10 points for a good bet.
";"10 punten voor een goede inzet.
";Moderator
Jysk;19;"Ledelsen i Jysk Telepartner har møde om vækst og strategisk udvikling. De snakker om, at salget ikke er den eneste funktion, der skaber mulighed for højere omsætning: Både marketing og kundeservice er jo med til at sikre, at kunderne oplever en kompetent leverandør med god service. Ledelsen beslutter sig nu for at styrke den interne koordinering.
Hvordan kan Jysk Telepartner sikre, at marketing og kundeservice medvirker til øget omsætning?";"The management of Jysk Telepartner has a meeting about growth and strategic development. They talk about how sales is not the only function that creates opportunities for higher revenue: Both marketing and customer service help to ensure that customers experience a competent supplier with good service. The management now decides to strengthen internal coordination.
How can Jysk Telepartner ensure that marketing and customer service contribute to increased revenue?";"Het management van Jysk Telepartner heeft een vergadering over groei en strategische ontwikkeling. Ze vertellen dat verkoop niet de enige functie is die kansen creëert voor een hogere omzet: zowel marketing als klantenservice helpen ervoor te zorgen dat klanten een competente leverancier met goede service ervaren. De directie besluit nu om de interne coördinatie te versterken.
Hoe kan Jysk Telepartner ervoor zorgen dat marketing en klantenservice bijdragen aan een hogere omzet?";NVT;10 point pr. forslag. Max 3 forslag.;"10 points per proposal. Maximum 3 suggestions.
";10 punten per voorstel. Maximaal 3 suggesties.;Moderator
Jysk;20;"Direktør i Jysk Telepartner beder en dag salgsafdelingen om at kortlægge en typisk kunderejse i tele- og softwarevirksomheden. Kortlægningen skal være med til at sikre, at virksomheden er tilstrækkelig kundeorienteret på hele kundens rejse fra start til slut. Salgsafdelingen har ikke arbejdet med kunderejser før.
Tegn et bud på en kunderejse, og drøft hvad salgsafdelingen opnår ved at lave en kunderejse, samt hvordan de kan anvende viden fra kunderejsen fremover? ";"One day, the CEO of Jysk Telepartner asks the sales department to map out a typical customer journey in the telecom and software company. The mapping will help ensure that the company is sufficiently customer-oriented throughout the customer's journey from start to finish. The sales department has not worked with customer journeys before.
Draw a proposal for a customer journey, and discuss what the sales department achieves by creating a customer journey, as well as how they can apply knowledge from the customer journey in the future?";"Op een dag vraagt de CEO van Jysk Telepartner aan de verkoopafdeling om een typische customer journey in het telecom- en softwarebedrijf in kaart te brengen. De mapping zal ervoor zorgen dat het bedrijf voldoende klantgericht is gedurende de hele reis van de klant van begin tot eind. De salesafdeling heeft nog niet eerder met customer journeys gewerkt.
Een voorstel doen voor een customer journey, en bespreken wat de salesafdeling bereikt met het creëren van een customer journey, en hoe ze kennis uit de customer journey in de toekomst kunnen toepassen?";NVT;20 point.;20 points.;"20 punten.
";Moderator
